Date,btc_price,btc_volume,eth_price,eth_volume,bnb_price,bnb_volume,sol_price,sol_volume,xrp_price,xrp_volume,ada_price,ada_volume,avax_price,avax_volume,doge_price,doge_volume,dot_price,dot_volume,trx_price,trx_volume
,BTC-USD,BTC-USD,ETH-USD,ETH-USD,BNB-USD,BNB-USD,SOL-USD,SOL-USD,XRP-USD,XRP-USD,ADA-USD,ADA-USD,AVAX-USD,AVAX-USD,DOGE-USD,DOGE-USD,DOT-USD,DOT-USD,TRX-USD,TRX-USD
2022-08-24,21395.01953125,31962253368,1657.0592041015625,16780932907,296.4496765136719,935405757,34.957916259765625,946325778,0.34614500403404236,957472562,0.4581089913845062,494717036,23.024131774902344,365514547,0.06798999756574631,345474347,7.572387218475342,301128081,0.0648529976606369,444387152
2022-08-25,21600.904296875,31028679593,1696.45703125,14818795695,301.5836486816406,973529233,35.316463470458984,828503624,0.349496990442276,970585823,0.4649989902973175,525337287,23.02031707763672,325764518,0.06909400224685669,469798193,7.587152004241943,260711829,0.06550200283527374,401181549
2022-08-26,20260.01953125,42326789564,1507.7828369140625,26713710143,279.5981750488281,1210077085,31.726362228393555,1315871629,0.3383699953556061,1653482688,0.43086299300193787,1299179883,20.59803009033203,530798722,0.063571996986866,620512451,6.9239630699157715,409439777,0.06164800003170967,580164367
2022-08-27,20041.73828125,30116729776,1491.39501953125,18120831899,277.80157470703125,962669292,31.54243278503418,764882265,0.3353469967842102,920820399,0.44970300793647766,733099946,20.0777587890625,351975085,0.0635870024561882,380887727,7.048661231994629,309589522,0.06289999932050705,420606764
2022-08-28,19616.814453125,24366810591,1430.54736328125,12823572918,276.2508850097656,758285305,30.39228630065918,562501615,0.3230949938297272,596573621,0.43004900217056274,519341943,18.430381774902344,368370708,0.061785999685525894,295086067,6.84318208694458,232920698,0.06147100031375885,296252044
2022-08-29,20297.994140625,32637854078,1553.037353515625,17965837488,286.2214050292969,1009161525,32.46529769897461,891913484,0.33379700779914856,980137287,0.4507029950618744,587946527,19.349014282226562,614013678,0.06388700008392334,315005254,7.28245210647583,311493145,0.06336099654436111,373308078
2022-08-30,19796.80859375,34483360283,1523.8388671875,21835784470,281.42535400390625,979620743,31.41205596923828,861409804,0.32686901092529297,948448428,0.4521690011024475,640051711,19.34550666809082,576589736,0.061524998396635056,328934727,7.0034308433532715,292180056,0.06469599902629852,683289145
2022-08-31,20049.763671875,33225232872,1553.6849365234375,20591680941,279.23809814453125,952486877,31.47295570373535,769308937,0.3278700113296509,882676752,0.4466649889945984,521553602,19.128339767456055,397343517,0.061330001801252365,309748693,7.026895046234131,271811037,0.06340699642896652,425044110
2022-09-01,20127.140625,30182031010,1586.1767578125,16434276817,278.417236328125,954919263,31.585678100585938,666487074,0.33319398760795593,875126154,0.4574809968471527,582859437,19.306751251220703,318893652,0.06237199902534485,328765413,7.186677932739258,293892711,0.06324999779462814,387409445
2022-09-02,19969.771484375,29123998928,1577.220458984375,17708478709,277.4161071777344,807053745,31.227930068969727,659575995,0.33125901222229004,899373528,0.45455899834632874,525812957,18.860631942749023,299938092,0.06163499876856804,273453013,7.302052021026611,384235184,0.0625929981470108,358864875
2022-09-03,19832.087890625,23613051457,1556.8726806640625,9516825994,277.77557373046875,490102253,31.10948371887207,314531753,0.32996898889541626,473116925,0.48038700222969055,778592386,18.875083923339844,180333777,0.0626939982175827,297123402,7.285171031951904,228794553,0.06311199814081192,260862804
2022-09-04,19986.712890625,25245861652,1577.6416015625,8884144998,278.84185791015625,512014471,32.106956481933594,392954663,0.3317990005016327,431905800,0.5030840039253235,907968827,19.005001068115234,194656841,0.06322599947452545,250044436,7.3704328536987305,251349147,0.06351999938488007,269500806
2022-09-05,19812.37109375,28813460025,1617.1832275390625,13060541168,276.6859130859375,665273781,32.19464874267578,512588616,0.33296000957489014,761048973,0.4991210103034973,646475147,19.426530838012695,219675345,0.06273800134658813,231918999,7.364227771759033,348385498,0.06295499950647354,322145597
2022-09-06,18837.66796875,43403978910,1561.74853515625,22946059125,262.66839599609375,1173656468,30.891742706298828,1196204019,0.3222079873085022,1337360825,0.4630660116672516,982012136,18.21985626220703,459611430,0.05898300185799599,471485708,6.879021167755127,452512755,0.06076499819755554,465026871
